,Date,Open,High,Low,Close,Volume,Adj Close
0,"Jan 01, 2021","3,270.00","3,363.89","3,086.00","3,206.20","71,528,900","3,206.20"
1,"Dec 01, 2020","3,188.50","3,350.65","3,072.82","3,256.93","77,556,200","3,256.93"
2,"Nov 01, 2020","3,061.74","3,366.80","2,950.12","3,168.04","90,810,500","3,168.04"
3,"Oct 01, 2020","3,208.00","3,496.24","3,019.00","3,036.15","116,226,100","3,036.15"
4,"Sep 01, 2020","3,489.58","3,552.25","2,871.00","3,148.73","115,899,300","3,148.73"
5,"Aug 01, 2020","3,180.51","3,495.00","3,073.00","3,450.96","83,516,600","3,450.96"
6,"Jul 01, 2020","2,757.99","3,344.29","2,754.00","3,164.68","127,502,000","3,164.68"
7,"Jun 01, 2020","2,448.00","2,796.00","2,437.13","2,758.82","87,818,300","2,758.82"
8,"May 01, 2020","2,336.80","2,525.45","2,256.38","2,442.37","82,584,400","2,442.37"
9,"Apr 01, 2020","1,932.97","2,475.00","1,889.15","2,474.00","124,609,800","2,474.00"
10,"Mar 01, 2020","1,906.49","1,996.33","1,626.03","1,949.72","163,809,100","1,949.72"
11,"Feb 01, 2020","2,010.60","2,185.95","1,811.13","1,883.75","92,510,100","1,883.75"
12,"Jan 01, 2020","1,875.00","2,055.72","1,815.34","2,008.72","84,698,300","2,008.72"
13,"Dec 01, 2019","1,804.40","1,901.40","1,735.00","1,847.84","68,149,600","1,847.84"
14,"Nov 01, 2019","1,788.01","1,824.69","1,722.71","1,800.80","52,076,200","1,800.80"
15,"Oct 01, 2019","1,746.00","1,798.85","1,685.06","1,776.66","70,360,500","1,776.66"
16,"Sep 01, 2019","1,770.00","1,853.66","1,709.22","1,735.91","61,172,900","1,735.91"
17,"Aug 01, 2019","1,871.72","1,897.92","1,743.51","1,776.29","79,771,200","1,776.29"
18,"Jul 01, 2019","1,922.98","2,035.80","1,849.44","1,866.78","73,148,800","1,866.78"
19,"Jun 01, 2019","1,760.01","1,935.20","1,672.00","1,893.63","74,746,500","1,893.63"
20,"May 01, 2019","1,933.09","1,964.40","1,772.70","1,775.07","98,214,400","1,775.07"
21,"Apr 01, 2019","1,800.11","1,956.34","1,798.73","1,926.52","81,239,200","1,926.52"
22,"Mar 01, 2019","1,655.13","1,823.75","1,586.57","1,780.75","100,832,200","1,780.75"
23,"Feb 01, 2019","1,638.88","1,673.06","1,566.76","1,639.83","80,936,900","1,639.83"
24,"Jan 01, 2019","1,465.20","1,736.41","1,460.93","1,718.73","134,001,700","1,718.73"
25,"Dec 01, 2018","1,769.46","1,778.34","1,307.00","1,501.97","154,812,700","1,501.97"
26,"Nov 01, 2018","1,623.53","1,784.00","1,420.00","1,690.17","139,290,000","1,690.17"
27,"Oct 01, 2018","2,021.99","2,033.19","1,476.36","1,598.01","183,220,800","1,598.01"
28,"Sep 01, 2018","2,026.50","2,050.50","1,865.00","2,003.00","94,445,500","2,003.00"
29,"Aug 01, 2018","1,784.00","2,025.57","1,776.02","2,012.71","96,575,800","2,012.71"
30,"Jul 01, 2018","1,682.70","1,880.05","1,678.06","1,777.44","97,521,100","1,777.44"
31,"Jun 01, 2018","1,637.03","1,763.10","1,635.09","1,699.80","85,941,300","1,699.80"
32,"May 01, 2018","1,563.22","1,635.00","1,546.02","1,629.62","71,615,500","1,629.62"
33,"Apr 01, 2018","1,417.62","1,638.10","1,352.88","1,566.13","129,919,600","1,566.13"
34,"Mar 01, 2018","1,513.60","1,617.54","1,365.20","1,447.34","130,400,100","1,447.34"
35,"Feb 01, 2018","1,445.00","1,528.70","1,265.93","1,512.45","137,784,000","1,512.45"
36,"Jan 01, 2018","1,172.00","1,472.58","1,170.51","1,450.89","96,371,200","1,450.89"
37,"Dec 01, 2017","1,172.05","1,194.78","1,124.74","1,169.47","57,760,200","1,169.47"
38,"Nov 01, 2017","1,105.40","1,213.41","1,086.87","1,176.75","77,165,000","1,176.75"
39,"Oct 01, 2017",964.00,"1,122.79",950.37,"1,105.28","83,334,100","1,105.28"
40,"Sep 01, 2017",984.20,"1,000.00",931.75,961.35,"59,291,800",961.35
41,"Aug 01, 2017",996.11,"1,006.40",936.33,980.60,"77,391,800",980.60
42,"Jul 01, 2017",972.79,"1,083.31",951.00,987.78,"78,812,400",987.78
43,"Jun 01, 2017",998.59,"1,017.00",927.00,968.00,"96,135,400",968.00
44,"May 01, 2017",927.80,"1,001.20",927.80,994.62,"76,202,000",994.62
45,"Apr 01, 2017",888.00,949.59,884.49,924.99,"73,539,700",924.99
46,"Mar 01, 2017",853.05,890.35,833.50,886.54,"60,710,700",886.54
47,"Feb 01, 2017",829.21,860.86,803.00,845.04,"71,748,300",845.04
48,"Jan 01, 2017",757.92,843.84,747.70,823.48,"70,614,000",823.48
49,"Dec 01, 2016",752.41,782.46,736.70,749.87,"73,660,200",749.87
50,"Nov 01, 2016",799.00,800.84,710.10,750.57,"110,085,900",750.57
51,"Oct 01, 2016",836.00,847.21,774.61,789.82,"77,063,800",789.82
52,"Sep 01, 2016",770.90,839.95,756.00,837.31,"67,335,700",837.31
53,"Aug 01, 2016",759.87,774.98,750.35,769.16,"50,000,400",769.16
54,"Jul 01, 2016",717.32,766.00,716.54,758.81,"68,635,500",758.81
55,"Jun 01, 2016",720.90,731.50,682.12,715.62,"74,540,900",715.62
56,"May 01, 2016",663.92,724.23,656.00,722.79,"90,614,500",722.79
57,"Apr 01, 2016",590.49,669.98,585.25,659.59,"78,464,200",659.59
58,"Mar 01, 2016",556.29,603.24,538.58,593.64,"94,009,500",593.64
59,"Feb 01, 2016",578.15,581.80,474.00,552.52,"124,144,800",552.52
60,"Jan 01, 2016",656.29,657.72,547.18,587.00,"130,200,900",587.00
